,0
total_area,31.693374128240716
dist_center_km,12.168857731779857
district,7.728608331321573
okrug,6.99667959852096
building_age,4.293858619953104
metro_name,3.1641281278986275
dist_moscow_st_km,3.151310661959651
floors_total,3.1400089690809394
kitchen_area,2.9229182096149677
rooms_n,2.4449205460841523
h3_08,2.368162970033738
desc_len,2.1679070382139063
flat_type,2.125364237043453
metro_walk_min,2.1194634376373247
photos_count,1.9702123057844736
dishwasher,1.4204688675520196
no_client_fee,1.3811065845088821
is_apartments,1.2568821285323195
living_area,1.1632895878400338
floor_ratio,0.8022250356753154
material_type,0.780774965224583
aircon,0.745499508780929
utilities_included,0.438649646493336
floor,0.42083581332004927
renov_euro,0.38427542807278675
renov_cosmetic,0.37290043555130764
unfurnished,0.28464415386188213
concierge,0.2673699813957714
washer,0.240027608806046
fridge,0.20123209694469668
pets_no,0.1941111460844932
parking,0.18598310334025234
is_by_homeowner,0.16195502965145914
has_description,0.15645747591352732
furnished,0.1288321060211011
is_lenobl,0.12702599994979585
floor_first,0.08326228241620107
pets_ok,0.07115890164377875
new_building,0.05974039776552696
floor_last,0.04591474149362269
no_deposit,0.044114294417845104
balcony,0.04024981148386074
kids_no,0.03724609736732949
is_studio,0.01974756862140317
renov_needed,0.014706181591095416
nice_view,0.013538106511312657
has_metro_nearby,0.0
